,date,open,high,low,close,volume,open_int
214,2023-11-07,41.75,55.25,41.75,51.25,703,5202
215,2023-11-08,48.5,56.25,41.75,50.5,296,5280
216,2023-11-09,80.0,81.0,53.0,54.25,119,496
217,2023-11-10,25.25,48.0,25.25,47.0,355,853
218,2023-11-13,41.75,47.75,36.0,43.5,269,1015
219,2023-11-14,29.75,48.5,29.75,41.5,1070,1278
220,2023-11-15,40.0,48.0,35.5,37.75,351,745
221,2023-11-16,37.5,39.0,31.5,37.25,131,804
222,2023-11-17,37.5,40.0,27.25,31.75,567,1803
223,2023-11-20,15.5,34.0,15.5,29.5,1930,1030
224,2023-11-21,36.0,36.0,24.5,28.5,1052,4080
225,2023-11-22,17.5,29.5,15.75,21.25,566,2198
226,2023-11-24,21.25,22.0,16.5,17.5,777,2221
227,2023-11-27,19.5,22.0,14.5,16.5,769,1379
228,2023-11-28,17.5,25.0,10.25,15.0,1301,1548
229,2023-11-29,16.0,38.0,9.15,10.5,2066,1670
230,2023-11-30,4.15,8.2,0.05,0.2,18399,0
231,2023-12-01,72.5,88.0,64.5,86.25,312,8885
232,2023-12-04,78.0,83.5,71.5,82.0,31,836
233,2023-12-05,83.75,87.0,79.5,86.5,13,2304
234,2023-12-06,105.5,105.5,79.75,79.75,62,1194
235,2023-12-07,60.25,82.0,60.25,81.75,31,426
236,2023-12-08,63.0,80.75,54.75,76.75,340,1122
237,2023-12-11,34.5,42.5,34.0,42.5,139,685
238,2023-12-12,34.75,38.5,27.5,36.25,1512,4587
239,2023-12-13,15.75,40.25,14.25,38.5,1841,1297
240,2023-12-14,35.75,50.0,28.75,38.5,1390,1138
241,2023-12-15,44.75,44.75,29.0,32.75,685,1171
242,2023-12-18,29.25,37.0,26.0,33.5,610,3671
243,2023-12-19,18.25,30.5,18.0,30.25,59630,11472
244,2023-12-20,72.5,84.0,30.5,33.0,708,8199
245,2023-12-21,15.0,29.75,14.75,29.25,3145,12706
246,2023-12-22,22.0,36.5,19.0,24.0,580,3039
247,2023-12-26,21.0,27.5,19.0,22.25,1163,11554
